,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
197,Plannet,2020-07-20,http://plannet.io/,"New York, New York, United States",,1.0,Seed,2021-04-04,1500000.0,Pre-Seed,1500000.0,Private,,,,,,3,2020,11010,False
199,Qvalon,2018-03-25,https://qvalon.com/,"New York, New York, United States","Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Professional Services, Real Estate, Software",3.0,,2021-06-10,700000.0,Venture - Series Unknown,1700000.0,Private,,,,,,5,2018,11011,False
200,Inverse,2022-07-14,https://about.inverse.app,"Chicago, Illinois, United States","Blockchain and Cryptocurrency, Community and Lifestyle, Events, Gaming, Hardware, Media and Entertainment, Other, Software",2.0,Seed,2021-03-01,830000.0,Pre-Seed,1020000.0,Private,,,,,,1,2022,11012,False
215,Sundes Collection,2018-04-12,https://sundes.com/,"Miami, Florida, United States","Real Estate, Travel and Tourism",2.0,Seed,2023-03-31,500000.0,Seed,800000.0,Private,,,,,,5,2018,11013,False
222,Huvr Inc.,2020-01-01,https://huvrpro.com/,"Colorado Springs, Colorado, United States","Apps, Hardware, Software, Travel and Tourism",2.0,Seed,2022-09-01,650000.0,Seed,1400000.0,Private,,,,,,3,2020,11014,False
224,Carbide Ventures,2021-01-01,https://www.carbideventures.com,"Palo Alto, California, United States",,,,,,,,Private,,,,,,2,2021,11015,False
225,Rover Robotics,2018-01-01,https://roverrobotics.com,"Wayzata, Minnesota, United States","Hardware, Science and Engineering, Software",2.0,Seed,2020-12-09,1000000.0,Seed,1500000.0,Private,,,0.0,1.0,,5,2018,11016,False
232,Mekanistic Therapeutics,2022-01-01,https://www.mekanistic.com,"Ann Arbor, Michigan, United States","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1.0,,2022-06-14,30000000.0,Venture - Series Unknown,30000000.0,Private,,,3.0,0.0,Organic Chemistry,1,2022,11017,False
235,Netography,2018-09-01,https://netography.com,"Annapolis, Maryland, United States","Information Technology, Privacy and Security, Software",2.0,Early Stage Venture,2021-11-15,45000000.0,Series A,47600000.0,Private,,,3.0,11.0,Electric Communication Technique,5,2018,11018,False
237,EVQLV,2019-12-15,https://evqlv.com/,"New York, New York, United States","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",4.0,Seed,2023-08-24,,Non-equity Assistance,60000.0,Private,,,1.0,0.0,,4,2019,11019,False
240,MNM Bioscience Inc.,2018-03-01,https://mnmbioscience.com/,"Cambridge, Massachusetts, United States","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",3.0,Seed,2020-10-20,2436141.0,Seed,3291141.0,Private,,,,,,5,2018,11020,False
242,Clearmix,2020-01-01,https://www.clearmix.com/,"New York, New York, United States","Content and Publishing, Media and Entertainment, Software, Video",3.0,Seed,2022-02-22,3250000.0,Seed,3375000.0,Private,,,,,,3,2020,11021,False
243,PranaQ,2021-07-21,http://www.pranaq.com,"Durham, North Carolina, United States","Health Care, Information Technology, Software",1.0,Seed,2022-11-04,3000000.0,Seed,3000000.0,Private,,,,,,2,2021,11022,False
256,Ship.com,2018-01-01,https://www.ship.com,"Las Vegas, Nevada, United States","Commerce and Shopping, Internet Services, Software, Transportation",1.0,Seed,2018-01-02,1750000.0,Seed,1750000.0,Private,,,,,,5,2018,11023,False
263,A-Teams,2020-01-01,https://www.a.team/,"New York, New York, United States","Information Technology, Science and Engineering, Software",2.0,Early Stage Venture,2022-05-17,55000000.0,Series A,55000000.0,Private,,,,,,3,2020,11024,False
265,Kall Morris,2019-11-22,https://www.kallmorris.com,"Marquette, Michigan, United States","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation",5.0,Seed,2022-09-01,,Non-equity Assistance,279000.0,Private,,,,,,4,2019,11025,False
267,Waeve,2018-01-01,http://thewaeve.com,"Boston, Massachusetts, United States","Commerce and Shopping, Consumer Goods, Health Care",1.0,Seed,2021-06-16,2000000.0,Seed,2000000.0,Private,,,,,,5,2018,11026,False
276,Moxie Apparel,2019-11-01,http://www.moxiescrubs.com,"Somerville, Massachusetts, United States","Commerce and Shopping, Health Care",4.0,Seed,2022-05-03,2300000.0,Pre-Seed,2872000.0,Private,,,,,,4,2019,11027,False
285,ShiftNOW,2022-07-01,http://shiftnow.com,"Charleston, South Carolina, United States","Advertising, Sales and Marketing, Software",2.0,Seed,2022-11-01,2000000.0,Seed,2500000.0,Private,,,0.0,0.0,,1,2022,11028,False
293,FluidForm,2018-01-01,https://www.fluidform3d.com,"Waltham, Massachusetts, United States","Biotechnology, Hardware, Health Care, Manufacturing, Science and Engineering, Software",4.0,,2022-01-11,,Venture - Series Unknown,249644.0,Private,,,,,,5,2018,11029,False
295,Stadeo,2021-05-01,https://www.stadeo.com,"Dallas, Texas, United States","Apps, Community and Lifestyle, Content and Publishing, Media and Entertainment, Mobile, Software, Sports, Video",1.0,Seed,2022-04-01,1350000.0,Pre-Seed,1350000.0,Private,,,0.0,1.0,,2,2021,11030,False
296,Mente,2019-04-01,https://www.mentemedical.com/,"Boston, Massachusetts, United States","Hardware, Health Care",4.0,Seed,2023-08-15,999981.0,Grant,1589935.0,Private,,,,,,4,2019,11031,False
299,Lavo Life Sciences,2022-01-01,https://www.lavo.ai,"San Francisco, California, United States","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,,,,1,2022,11032,False
301,Wendal,2019-01-01,https://www.wendal.io,"Covington, Kentucky, United States","Information Technology, Software",3.0,,2022-10-19,1739956.0,Venture - Series Unknown,2539964.0,Private,,,0.0,3.0,,4,2019,11033,False
314,98Strong,2021-01-01,https://www.98strong.com/,"Princeton, New Jersey, United States","Other, Sales and Marketing, Social Impact, Software, Sports",2.0,Seed,2022-08-11,250000.0,Seed,450000.0,Private,,,0.0,0.0,,2,2021,11034,False
326,LeapFrog Design,2019-07-01,https://leapfrog.design,"Bend, Oregon, United States",Sustainability,3.0,,2022-11-18,500000.0,Grant,1741481.0,Private,,,1.0,0.0,"Treatment Of Water, Waste Water, Sewage, Or Sludge",4,2019,11035,False
