,text_index,text_id,keyword,position,position_pct
34728,4306,4306,ai,207,27.490039840637447
34729,4306,4306,ai,263,34.9269588313413
34730,4306,4306,ai,385,51.12881806108898
34731,4306,4306,ai,440,58.432934926958836
34732,4306,4306,ai,444,58.964143426294825
34733,4306,4306,ai,561,74.5019920318725
34734,4306,4306,ai,640,84.9933598937583
34735,4306,4306,ai,644,85.52456839309428
34736,4306,4306,ai,649,86.18857901726427
34737,4306,4306,ai,657,87.25099601593625
34738,4306,4306,ai,661,87.78220451527224
34739,4306,4306,ai,666,88.44621513944223
34740,4306,4306,ai,673,89.37583001328021
34741,4306,4306,ai,677,89.9070385126162
34742,4306,4306,ai,699,92.82868525896414
34743,4308,4308,ai,5,1.5337423312883436
34744,4308,4308,ai,21,6.441717791411043
34745,4308,4308,ai,21,6.441717791411043
34746,4308,4308,ai,45,13.803680981595093
34747,4308,4308,ai,48,14.723926380368098
34748,4308,4308,ai,55,16.87116564417178
34749,4308,4308,ai,57,17.484662576687114
34750,4308,4308,ai,88,26.993865030674847
34751,4308,4308,ai,120,36.809815950920246
34752,4308,4308,ai,125,38.34355828220859
34753,4308,4308,ai,184,56.44171779141104
34754,4308,4308,machine learning,246,75.4601226993865
34755,4308,4308,ai,257,78.83435582822086
34756,4308,4308,ai,260,79.75460122699386
34757,4309,4309,ai,655,75.37399309551208
34758,4309,4309,ai,667,76.75489067894131
34759,4309,4309,ai,677,77.90563866513234
34760,4309,4309,ai,690,79.40161104718067
34761,4309,4309,ai,709,81.58803222094362
34762,4309,4309,ai,721,82.96892980437283
34763,4309,4309,ai,731,84.11967779056386
34764,4309,4309,ai,744,85.6156501726122
34765,4309,4309,ai,763,87.80207134637514
34766,4309,4309,ai,775,89.18296892980437
34767,4309,4309,ai,785,90.3337169159954
34768,4309,4309,ai,798,91.82968929804373
34769,4309,4309,ai,838,96.43268124280783
34770,4310,4310,ai,6,0.78125
34771,4310,4310,ai,185,24.088541666666664
34772,4310,4310,ai,223,29.036458333333332
34773,4310,4310,ai,268,34.89583333333333
34774,4310,4310,ml,365,47.52604166666667
34775,4310,4310,ai,408,53.125
34776,4310,4310,ml,476,61.979166666666664
34777,4310,4310,ai,532,69.27083333333334
34778,4310,4310,ai,542,70.57291666666666
34779,4310,4310,ml,583,75.91145833333334
34780,4310,4310,ml,602,78.38541666666666
34781,4310,4310,ai,658,85.67708333333334
